POS_avg	GENE	CHR
34.012	AB_038595_T.1	1
34.293	AB_038595_T.1	1
34.855	AB_029629_T.1	1
35.9785	AB_024621_T.1	1
35.9785	AB_024621_T.1	1
35.9785	AB_027656_T.1	1
35.9785	AB_027656_T.1	1
35.9785	AB_027656_T.1	1
36.259	AB_027656_T.1	1
36.259	AB_023449_T.1	1
36.259	AB_023449_T.1	1
36.259	AB_025574_T.1	1
36.259	AB_023449_T.1	1
36.259	AB_025574_T.1	1
37.102	AB_023449_T.1	1
37.102	AB_001876_T.1	1
39.356	AB_023521_T.1	1
39.356	AB_023521_T.1	1
39.6365	AB_021652_T.1	1
39.9175	AB_045094_T.1	1
39.9175	AB_031691_T.1	1
39.9175	AB_030851_T.1	1
39.9175	AB_002003_T.1	1
40.7635	AB_030851_T.1	1
40.7635	AB_025341_T.1	1
40.7635	AB_030851_T.1	1
40.7635	AB_029909_T.1	1
40.7635	AB_024930_T.1	1
40.7635	AB_024930_T.1	1
40.7635	AB_024930_T.1	1
40.7635	AB_030851_T.1	1
40.7635	AB_030851_T.1	1
41.3255	AB_012375_T.1	1
41.3255	AB_012375_T.1	1
41.3255	AB_024197_T.1	1
41.3255	AB_024197_T.1	1
41.3255	AB_024197_T.1	1
41.606	AB_002632_T.1	1
42.168	AB_021652_T.1	1
43.5785	AB_034210_T.1	1
44.4215	AB_013719_T.1	1
45.2675	AB_031810_T.1	1
45.5485	AB_029111_T.1	1
46.391	AB_025537_T.1	1
46.6715	AB_020911_T.1	1
48.0795	AB_008972_T.1	1
50.9045	AB_043741_T.1	1
51.1855	AB_035628_T.1	1
52.028	AB_045046_T.1	1
52.028	AB_028288_T.1	1
52.028	AB_028288_T.1	1
52.309	AB_000234_T.1	1
54.5625	AB_038092_T.1	1
54.8435	AB_014852_T.1	1
57.4105	AB_038168_T.1	1
57.9725	AB_009935_T.1	1
58.2535	AB_030604_T.1	1
59.952	AB_003439_T.1	1
60.5135	AB_044675_T.1	1
60.5135	AB_001104_T.1	1
61.075	AB_026118_T.1	1
61.075	AB_026118_T.1	1
61.075	AB_026118_T.1	1
61.075	AB_026118_T.1	1
62.761	AB_000129_T.1	1
63.3225	AB_031662_T.1	1
64.4525	AB_032618_T.1	1
65.86	AB_002301_T.1	1
65.86	AB_003614_T.1	1
66.422	AB_003614_T.1	1
66.703	AB_031581_T.1	1
67.83	AB_021284_T.1	1
68.111	AB_031581_T.1	1
69.234	AB_044120_T.1	1
69.234	AB_003196_T.1	1
69.234	AB_044120_T.1	1
69.234	AB_010299_T.1	1
69.234	AB_021694_T.1	1
70.077	AB_012734_T.1	1
70.077	AB_023834_T.1	1
70.077	AB_012734_T.1	1
70.077	AB_007853_T.1	1
70.077	AB_040058_T.1	1
70.077	AB_018425_T.1	1
70.077	AB_040058_T.1	1
70.077	AB_026122_T.1	1
70.077	AB_018929_T.1	1
70.358	AB_003161_T.1	1
70.358	AB_042923_T.1	1
70.358	AB_041382_T.1	1
70.639	AB_042923_T.1	1
70.639	AB_017691_T.1	1
70.639	AB_017825_T.1	1
71.7655	AB_038716_T.1	1
72.3275	AB_026887_T.1	1
73.17	AB_024668_T.1	1
74.581	AB_031150_T.1	1
75.146	AB_033562_T.1	1
75.427	AB_013223_T.1	1
75.427	AB_031150_T.1	1
75.708	AB_022803_T.1	1
75.989	AB_000780_T.1	1
76.2695	AB_034945_T.1	1
76.2695	AB_008707_T.1	1
76.2695	AB_008707_T.1	1
76.831	AB_032409_T.1	1
76.831	AB_032409_T.1	1
76.831	AB_032409_T.1	1
76.831	AB_032409_T.1	1
76.831	AB_032409_T.1	1
76.831	AB_032409_T.1	1
76.831	AB_032409_T.1	1
76.831	AB_032409_T.1	1
77.393	AB_003069_T.1	1
80.2055	AB_014277_T.1	1
81.3385	AB_043152_T.1	1
81.3385	AB_029877_T.1	1
82.1845	AB_019783_T.1	1
82.1845	AB_020188_T.1	1
82.1845	AB_004659_T.1	1
82.1845	AB_019783_T.1	1
84.7255	AB_009424_T.1	1
86.414	AB_037898_T.1	1
87.8215	AB_042555_T.1	1
87.8215	AB_016325_T.1	1
88.3835	AB_003234_T.1	1
88.3835	AB_003234_T.1	1
88.3835	AB_004536_T.1	1
88.9455	AB_003234_T.1	1
88.9455	AB_001806_T.1	1
90.356	AB_034797_T.1	1
90.356	AB_041900_T.1	1
90.356	AB_042555_T.1	1
90.356	AB_036760_T.1	1
90.356	AB_036760_T.1	1
90.356	AB_034797_T.1	1
90.637	AB_023821_T.1	1
90.637	AB_003234_T.1	1
94.8925	AB_031842_T.1	1
94.8925	AB_031842_T.1	1
94.8925	AB_031842_T.1	1
94.8925	AB_039123_T.1	1
94.8925	AB_039123_T.1	1
94.8925	AB_039123_T.1	1
94.8925	AB_041480_T.1	1
94.8925	AB_031842_T.1	1
94.8925	AB_031842_T.1	1
94.8925	AB_031842_T.1	1
96.019	AB_012855_T.1	1
96.019	AB_039123_T.1	1
96.019	AB_039123_T.1	1
97.43	AB_021972_T.1	1
97.43	AB_012855_T.1	1
97.43	AB_026546_T.1	1
97.9915	AB_034491_T.1	1
98.5535	AB_030895_T.1	1
99.3965	AB_011364_T.1	1
99.6775	AB_006442_T.1	1
99.6775	AB_011364_T.1	1
99.6775	AB_006442_T.1	1
100.2425	AB_016156_T.1	1
104.1975	AB_014401_T.1	1
106.1765	AB_014075_T.1	1
107.5875	AB_023592_T.1	1
108.1525	AB_023592_T.1	1
108.1525	AB_035948_T.1	1
109.56	AB_020323_T.1	1
109.841	AB_020323_T.1	1
113.234	AB_030695_T.1	1
113.515	AB_030695_T.1	1
113.515	AB_030695_T.1	1
113.515	AB_030695_T.1	1
113.796	AB_045741_T.1	1
113.796	AB_007088_T.1	1
113.796	AB_007088_T.1	1
113.796	AB_045741_T.1	1
113.796	AB_045741_T.1	1
113.796	AB_045741_T.1	1
114.077	AB_000392_T.1	1
114.358	AB_025537_T.1	1
116.3275	AB_019030_T.1	1
116.3275	AB_019030_T.1	1
116.3275	AB_019030_T.1	1
116.608	AB_017230_T.1	1
118.3065	AB_039332_T.1	1
118.3065	AB_031104_T.1	1
119.1525	AB_039688_T.1	1
121.984	AB_019030_T.1	1
123.963	AB_013183_T.1	1
124.244	AB_012369_T.1	1
124.806	AB_000540_T.1	1
124.806	AB_024653_T.1	1
124.806	AB_010336_T.1	1
125.087	AB_024653_T.1	1
126.2105	AB_021688_T.1	1
126.4915	AB_026665_T.1	1
126.4915	AB_021688_T.1	1
127.053	AB_026665_T.1	1
127.053	AB_030954_T.1	1
127.053	AB_009126_T.1	1
127.053	AB_002966_T.1	1
127.053	AB_025166_T.1	1
127.053	AB_002839_T.1	1
127.053	AB_025166_T.1	1
127.053	AB_009126_T.1	1
127.053	AB_025166_T.1	1
127.053	AB_038370_T.1	1
127.615	AB_009126_T.1	1
127.615	AB_036087_T.1	1
127.896	AB_029892_T.1	1
128.1765	AB_009126_T.1	1
129.5875	AB_000218_T.1	1
129.5875	AB_009318_T.1	1
129.5875	AB_009318_T.1	1
129.5875	AB_002966_T.1	1
129.5875	AB_002966_T.1	1
129.5875	AB_019437_T.1	1
129.5875	AB_019437_T.1	1
129.5875	AB_005323_T.1	1
129.5875	AB_019437_T.1	1
129.5875	AB_002966_T.1	1
130.1495	AB_004040_T.1	1
130.1495	AB_004040_T.1	1
130.1495	AB_011887_T.1	1
130.711	AB_009024_T.1	1
131.273	AB_009024_T.1	1
131.273	AB_009024_T.1	1
131.273	AB_009024_T.1	1
131.273	AB_009024_T.1	1
131.273	AB_009024_T.1	1
131.273	AB_009024_T.1	1
131.273	AB_009024_T.1	1
131.835	AB_009024_T.1	1
131.835	AB_003528_T.1	1
132.3965	AB_005081_T.1	1
132.9585	AB_010396_T.1	1
133.2395	AB_016773_T.1	1
134.644	AB_029678_T.1	1
135.4865	AB_011887_T.1	1
136.0485	AB_024290_T.1	1
136.0485	AB_029678_T.1	1
136.329	AB_030990_T.1	1
136.329	AB_030990_T.1	1
136.329	AB_030990_T.1	1
137.7465	AB_007998_T.1	1
138.0275	AB_012041_T.1	1
138.0275	AB_007998_T.1	1
138.3085	AB_012041_T.1	1
138.3085	AB_013888_T.1	1
138.3085	AB_000464_T.1	1
138.3085	AB_027631_T.1	1
138.3085	AB_025537_T.1	1
138.3085	AB_012041_T.1	1
138.5895	AB_019516_T.1	1
138.5895	AB_017632_T.1	1
138.5895	AB_031897_T.1	1
138.5895	AB_031897_T.1	1
138.5895	AB_008832_T.1	1
138.5895	AB_018054_T.1	1
138.5895	AB_031897_T.1	1
138.5895	AB_003852_T.1	1
138.87	AB_017632_T.1	1
139.151	AB_007998_T.1	1
139.151	AB_007998_T.1	1
139.151	AB_007998_T.1	1
139.151	AB_007998_T.1	1
139.151	AB_018054_T.1	1
139.151	AB_012041_T.1	1
139.151	AB_010011_T.1	1
139.151	AB_025537_T.1	1
139.151	AB_010011_T.1	1
139.151	AB_025537_T.1	1
139.151	AB_018086_T.1	1
139.151	AB_018086_T.1	1
139.151	AB_018054_T.1	1
139.151	AB_018054_T.1	1
139.151	AB_017632_T.1	1
139.432	AB_017632_T.1	1
139.713	AB_008832_T.1	1
139.713	AB_017632_T.1	1
140.8365	AB_017632_T.1	1
141.3985	AB_042439_T.1	1
2.199	AB_010571_T.1	2
3.263	AB_035680_T.1	2
3.795	AB_010571_T.1	2
3.795	AB_023221_T.1	2
4.859	AB_018101_T.1	2
5.421	AB_010571_T.1	2
5.421	AB_039176_T.1	2
5.421	AB_010571_T.1	2
5.421	AB_010571_T.1	2
5.421	AB_010571_T.1	2
5.7015	AB_010571_T.1	2
5.7015	AB_010571_T.1	2
5.7015	AB_010571_T.1	2
5.7015	AB_020995_T.1	2
5.7015	AB_020995_T.1	2
5.7015	AB_010571_T.1	2
5.9825	AB_024136_T.1	2
5.9825	AB_024136_T.1	2
5.9825	AB_021548_T.1	2
5.9825	AB_021548_T.1	2
5.9825	AB_024136_T.1	2
5.9825	AB_024136_T.1	2
5.9825	AB_023221_T.1	2
6.2635	AB_030523_T.1	2
6.5445	AB_003688_T.1	2
6.5445	AB_029651_T.1	2
6.5445	AB_024136_T.1	2
6.825	AB_035680_T.1	2
6.825	AB_035680_T.1	2
6.825	AB_020995_T.1	2
6.825	AB_016152_T.1	2
6.825	AB_012320_T.1	2
6.825	AB_012320_T.1	2
6.825	AB_012320_T.1	2
6.825	AB_000895_T.1	2
6.825	AB_030523_T.1	2
6.825	AB_035680_T.1	2
6.825	AB_019149_T.1	2
6.825	AB_003688_T.1	2
6.825	AB_012320_T.1	2
6.825	AB_015318_T.1	2
6.825	AB_030523_T.1	2
6.825	AB_012320_T.1	2
6.825	AB_003688_T.1	2
6.825	AB_035680_T.1	2
7.106	AB_012320_T.1	2
7.106	AB_012320_T.1	2
7.106	AB_015318_T.1	2
7.387	AB_008549_T.1	2
8.2325	AB_041906_T.1	2
8.2325	AB_042076_T.1	2
8.2325	AB_044618_T.1	2
8.5135	AB_020446_T.1	2
8.5135	AB_010571_T.1	2
8.5135	AB_023304_T.1	2
9.6435	AB_042076_T.1	2
9.6435	AB_044618_T.1	2
9.6435	AB_044618_T.1	2
9.6435	AB_020446_T.1	2
11.339	AB_014366_T.1	2
11.339	AB_014366_T.1	2
11.339	AB_014366_T.1	2
11.339	AB_010576_T.1	2
11.339	AB_014366_T.1	2
11.62	AB_010576_T.1	2
11.62	AB_010576_T.1	2
11.62	AB_010576_T.1	2
11.62	AB_010576_T.1	2
12.4625	AB_011698_T.1	2
12.4625	AB_011698_T.1	2
12.4625	AB_005234_T.1	2
12.4625	AB_020996_T.1	2
12.743	AB_011279_T.1	2
13.589	AB_045216_T.1	2
13.589	AB_045216_T.1	2
14.435	AB_012375_T.1	2
14.435	AB_012375_T.1	2
16.6955	AB_020714_T.1	2
17.538	AB_012375_T.1	2
17.538	AB_013904_T.1	2
17.538	AB_012787_T.1	2
17.538	AB_013904_T.1	2
17.538	AB_013904_T.1	2
18.0995	AB_012375_T.1	2
18.0995	AB_012375_T.1	2
18.0995	AB_012375_T.1	2
18.6615	AB_043044_T.1	2
18.6615	AB_043044_T.1	2
20.079	AB_043044_T.1	2
20.079	AB_043044_T.1	2
20.641	AB_024635_T.1	2
25.22	AB_011288_T.1	2
25.22	AB_003647_T.1	2
27.473	AB_011288_T.1	2
28.035	AB_015437_T.1	2
28.597	AB_011288_T.1	2
28.597	AB_011288_T.1	2
33.6885	AB_046043_T.1	2
33.6885	AB_046043_T.1	2
34.8155	AB_026787_T.1	2
34.8155	AB_034575_T.1	2
34.8155	AB_034575_T.1	2
34.8155	AB_034575_T.1	2
34.8155	AB_034575_T.1	2
34.8155	AB_026787_T.1	2
34.8155	AB_019487_T.1	2
34.8155	AB_034575_T.1	2
34.8155	AB_038269_T.1	2
35.3775	AB_023123_T.1	2
36.7845	AB_035484_T.1	2
36.7845	AB_035484_T.1	2
36.7845	AB_035484_T.1	2
36.7845	AB_035484_T.1	2
37.3465	AB_002077_T.1	2
37.3465	AB_002077_T.1	2
37.6275	AB_035484_T.1	2
39.0385	AB_028275_T.1	2
40.1685	AB_015233_T.1	2
40.1685	AB_015233_T.1	2
40.1685	AB_015233_T.1	2
41.8575	AB_015233_T.1	2
42.984	AB_021170_T.1	2
42.984	AB_012091_T.1	2
42.984	AB_021170_T.1	2
42.984	AB_018953_T.1	2
42.984	AB_019644_T.1	2
42.984	AB_021170_T.1	2
42.984	AB_012375_T.1	2
43.546	AB_012091_T.1	2
43.546	AB_021170_T.1	2
43.546	AB_021170_T.1	2
43.546	AB_005132_T.1	2
43.546	AB_012091_T.1	2
44.672	AB_021128_T.1	2
44.672	AB_014256_T.1	2
45.234	AB_021847_T.1	2
46.926	AB_040609_T.1	2
48.337	AB_011816_T.1	2
48.337	AB_011816_T.1	2
48.899	AB_033912_T.1	2
48.899	AB_043943_T.1	2
49.4605	AB_026067_T.1	2
49.4605	AB_035333_T.1	2
49.4605	AB_033912_T.1	2
49.4605	AB_044037_T.1	2
50.022	AB_027068_T.1	2
52.557	AB_012375_T.1	2
56.8025	AB_024346_T.1	2
56.8025	AB_024346_T.1	2
57.364	AB_022556_T.1	2
59.053	AB_002484_T.1	2
60.4575	AB_017094_T.1	2
60.4575	AB_019644_T.1	2
61.019	AB_017094_T.1	2
62.4235	AB_013811_T.1	2
62.4235	AB_019644_T.1	2
62.4235	AB_019644_T.1	2
62.4235	AB_002484_T.1	2
62.4235	AB_023462_T.1	2
62.4235	AB_013811_T.1	2
62.4235	AB_005613_T.1	2
62.9855	AB_005613_T.1	2
63.547	AB_021737_T.1	2
63.547	AB_021745_T.1	2
63.547	AB_030216_T.1	2
63.547	AB_021737_T.1	2
64.9645	AB_001511_T.1	2
64.9645	AB_020089_T.1	2
66.3755	AB_031506_T.1	2
66.3755	AB_029883_T.1	2
66.3755	AB_034574_T.1	2
66.3755	AB_029883_T.1	2
66.3755	AB_029883_T.1	2
66.9375	AB_034947_T.1	2
66.9375	AB_034947_T.1	2
66.9375	AB_034947_T.1	2
68.629	AB_002078_T.1	2
69.475	AB_031506_T.1	2
70.0365	AB_000576_T.1	2
70.3175	AB_029883_T.1	2
70.3175	AB_043940_T.1	2
70.3175	AB_043940_T.1	2
70.3175	AB_045705_T.1	2
70.3175	AB_043940_T.1	2
70.8795	AB_045705_T.1	2
70.8795	AB_002415_T.1	2
70.8795	AB_007096_T.1	2
72.2905	AB_009961_T.1	2
73.1365	AB_010731_T.1	2
73.9825	AB_001206_T.1	2
74.2635	AB_032341_T.1	2
77.369	AB_031030_T.1	2
77.369	AB_023246_T.1	2
77.369	AB_001038_T.1	2
77.9305	AB_042631_T.1	2
77.9305	AB_014721_T.1	2
77.9305	AB_014721_T.1	2
77.9305	AB_014721_T.1	2
77.9305	AB_014721_T.1	2
77.9305	AB_014721_T.1	2
79.0605	AB_045574_T.1	2
79.6225	AB_037493_T.1	2
79.9035	AB_021511_T.1	2
80.7465	AB_018713_T.1	2
81.0275	AB_001420_T.1	2
81.5885	AB_001420_T.1	2
82.7155	AB_045792_T.1	2
82.7155	AB_014819_T.1	2
83.2775	AB_008372_T.1	2
83.2775	AB_045792_T.1	2
83.5585	AB_043120_T.1	2
83.5585	AB_043120_T.1	2
83.5585	AB_035903_T.1	2
83.5585	AB_035903_T.1	2
84.12	AB_043120_T.1	2
84.682	AB_012375_T.1	2
84.682	AB_012375_T.1	2
85.2435	AB_040619_T.1	2
85.5245	AB_005178_T.1	2
86.3675	AB_026664_T.1	2
91.7495	AB_008129_T.1	2
91.7495	AB_008129_T.1	2
91.7495	AB_008129_T.1	2
92.0305	AB_008129_T.1	2
92.5925	AB_002469_T.1	2
92.5925	AB_023824_T.1	2
92.5925	AB_019380_T.1	2
92.5925	AB_001946_T.1	2
92.5925	AB_012375_T.1	2
92.5925	AB_029258_T.1	2
95.4145	AB_027105_T.1	2
95.976	AB_029832_T.1	2
95.976	AB_021135_T.1	2
97.6675	AB_026665_T.1	2
97.6675	AB_026665_T.1	2
99.6535	AB_003845_T.1	2
102.4625	AB_003523_T.1	2
102.4625	AB_019742_T.1	2
103.3085	AB_037194_T.1	2
103.8735	AB_019742_T.1	2
103.8735	AB_037194_T.1	2
103.8735	AB_011921_T.1	2
104.435	AB_011921_T.1	2
104.997	AB_009802_T.1	2
105.8395	AB_018235_T.1	2
105.8395	AB_012941_T.1	2
105.8395	AB_016791_T.1	2
108.42	AB_025470_T.1	2
108.701	AB_025952_T.1	2
108.982	AB_025952_T.1	2
108.982	AB_025952_T.1	2
110.6735	AB_011485_T.1	2
113.8455	AB_009593_T.1	2
113.8455	AB_019331_T.1	2
114.1265	AB_009593_T.1	2
114.6885	AB_014683_T.1	2
118.95	AB_028788_T.1	2
118.95	AB_001356_T.1	2
118.95	AB_028788_T.1	2
118.95	AB_028788_T.1	2
119.512	AB_044655_T.1	2
120.0735	AB_044655_T.1	2
120.0735	AB_044655_T.1	2
120.3545	AB_044655_T.1	2
120.6355	AB_008440_T.1	2
120.9165	AB_008440_T.1	2
120.9165	AB_008440_T.1	2
121.478	AB_017664_T.1	2
121.759	AB_016991_T.1	2
122.889	AB_045344_T.1	2
122.889	AB_025537_T.1	2
122.889	AB_011260_T.1	2
122.889	AB_025537_T.1	2
122.889	AB_026576_T.1	2
122.889	AB_025537_T.1	2
122.889	AB_028170_T.1	2
124.2965	AB_020450_T.1	2
124.2965	AB_020450_T.1	2
124.8585	AB_044761_T.1	2
126.5475	AB_016718_T.1	2
126.5475	AB_016718_T.1	2
126.5475	AB_016718_T.1	2
126.5475	AB_016718_T.1	2
126.5475	AB_016718_T.1	2
126.828	AB_001822_T.1	2
127.109	AB_022807_T.1	2
127.109	AB_000679_T.1	2
128.8075	AB_046034_T.1	2
131.061	AB_006220_T.1	2
131.623	AB_031403_T.1	2
132.7495	AB_005375_T.1	2
133.0305	AB_031689_T.1	2
133.0305	AB_031689_T.1	2
133.0305	AB_031689_T.1	2
133.311	AB_026561_T.1	2
133.311	AB_026561_T.1	2
133.311	AB_031689_T.1	2
135.568	AB_015087_T.1	2
135.568	AB_015087_T.1	2
135.568	AB_015087_T.1	2
135.568	AB_020410_T.1	2
135.849	AB_027860_T.1	2
135.849	AB_002834_T.1	2
135.849	AB_002834_T.1	2
135.849	AB_027860_T.1	2
135.849	AB_002834_T.1	2
136.9725	AB_018525_T.1	2
136.9725	AB_020261_T.1	2
137.5345	AB_019340_T.1	2
137.815	AB_018525_T.1	2
137.815	AB_019340_T.1	2
139.2295	AB_034218_T.1	2
140.0755	AB_021259_T.1	2
141.493	AB_011051_T.1	2
142.62	AB_043793_T.1	2
143.4655	AB_043793_T.1	2
144.8895	AB_007173_T.1	2
145.1705	AB_028145_T.1	2
145.1705	AB_035965_T.1	2
146.3005	AB_044330_T.1	2
146.3005	AB_011949_T.1	2
146.3005	AB_011051_T.1	2
147.1465	AB_019339_T.1	2
147.1465	AB_020865_T.1	2
147.1465	AB_032372_T.1	2
147.708	AB_008958_T.1	2
147.708	AB_002572_T.1	2
147.708	AB_008958_T.1	2
147.708	AB_002572_T.1	2
147.708	AB_002572_T.1	2
147.708	AB_002572_T.1	2
147.708	AB_025738_T.1	2
147.989	AB_020723_T.1	2
148.8315	AB_010986_T.1	2
148.8315	AB_010986_T.1	2
149.3935	AB_006987_T.1	2
149.3935	AB_007173_T.1	2
149.3935	AB_028641_T.1	2
149.3935	AB_028641_T.1	2
149.3935	AB_007173_T.1	2
149.6745	AB_029469_T.1	2
149.6745	AB_015058_T.1	2
149.6745	AB_011949_T.1	2
150.236	AB_009841_T.1	2
150.236	AB_028145_T.1	2
150.236	AB_044811_T.1	2
150.236	AB_028440_T.1	2
150.801	AB_010986_T.1	2
150.801	AB_005015_T.1	2
151.363	AB_008734_T.1	2
0	AB_012721_T.1	3
0	AB_012721_T.1	3
0.6025	AB_040480_T.1	3
0.6025	AB_000013_T.1	3
1.8075	AB_003663_T.1	3
1.8075	AB_043537_T.1	3
1.8075	AB_004045_T.1	3
1.8075	AB_011912_T.1	3
1.8075	AB_003663_T.1	3
1.8075	AB_020213_T.1	3
4.696	AB_011290_T.1	3
4.696	AB_003663_T.1	3
4.696	AB_003663_T.1	3
4.696	AB_003621_T.1	3
4.696	AB_003621_T.1	3
4.696	AB_015681_T.1	3
4.696	AB_012721_T.1	3
4.696	AB_011290_T.1	3
4.696	AB_003621_T.1	3
4.696	AB_004045_T.1	3
4.696	AB_003621_T.1	3
4.696	AB_018337_T.1	3
4.696	AB_003621_T.1	3
4.696	AB_003621_T.1	3
4.696	AB_003621_T.1	3
5.258	AB_021408_T.1	3
5.258	AB_021408_T.1	3
5.819	AB_011290_T.1	3
6.1	AB_003621_T.1	3
6.1	AB_003621_T.1	3
6.1	AB_018233_T.1	3
6.1	AB_003621_T.1	3
6.1	AB_003621_T.1	3
6.1	AB_018337_T.1	3
6.1	AB_018337_T.1	3
6.1	AB_003621_T.1	3
6.1	AB_003621_T.1	3
6.1	AB_030399_T.1	3
6.381	AB_004045_T.1	3
6.381	AB_000406_T.1	3
6.381	AB_000406_T.1	3
6.381	AB_040106_T.1	3
6.381	AB_043537_T.1	3
6.381	AB_003350_T.1	3
6.381	AB_015681_T.1	3
6.381	AB_043537_T.1	3
6.662	AB_003350_T.1	3
6.662	AB_043537_T.1	3
6.662	AB_043537_T.1	3
6.943	AB_018337_T.1	3
6.943	AB_021408_T.1	3
6.943	AB_025050_T.1	3
6.943	AB_025050_T.1	3
6.943	AB_018337_T.1	3
7.224	AB_011912_T.1	3
7.224	AB_014973_T.1	3
8.3475	AB_031394_T.1	3
8.628	AB_012774_T.1	3
9.19	AB_002003_T.1	3
10.317	AB_007700_T.1	3
10.317	AB_007700_T.1	3
12.855	AB_020682_T.1	3
13.4165	AB_025050_T.1	3
14.54	AB_007328_T.1	3
16.826	AB_020216_T.1	3
16.826	AB_007328_T.1	3
17.9595	AB_014973_T.1	3
17.9595	AB_014973_T.1	3
17.9595	AB_014973_T.1	3
17.9595	AB_014973_T.1	3
17.9595	AB_014973_T.1	3
17.9595	AB_014973_T.1	3
19.9325	AB_027864_T.1	3
19.9325	AB_027864_T.1	3
19.9325	AB_027864_T.1	3
19.9325	AB_001093_T.1	3
19.9325	AB_027864_T.1	3
20.4945	AB_038634_T.1	3
20.4945	AB_038634_T.1	3
20.4945	AB_027864_T.1	3
20.4945	AB_038634_T.1	3
21.3365	AB_027864_T.1	3
21.3365	AB_027864_T.1	3
21.3365	AB_034145_T.1	3
21.3365	AB_012375_T.1	3
21.9015	AB_028722_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
21.9015	AB_027864_T.1	3
23.0315	AB_017472_T.1	3
23.0315	AB_028722_T.1	3
24.449	AB_030830_T.1	3
24.449	AB_046066_T.1	3
24.73	AB_046066_T.1	3
24.73	AB_028722_T.1	3
25.576	AB_028722_T.1	3
25.576	AB_028722_T.1	3
26.422	AB_021854_T.1	3
26.422	AB_032232_T.1	3
27.5485	AB_044683_T.1	3
28.1105	AB_025537_T.1	3
28.1105	AB_029536_T.1	3
28.6725	AB_025537_T.1	3
28.6725	AB_015704_T.1	3
28.6725	AB_015704_T.1	3
30.3705	AB_010795_T.1	3
30.3705	AB_030231_T.1	3
30.3705	AB_021853_T.1	3
30.3705	AB_044683_T.1	3
30.651	AB_010795_T.1	3
32.621	AB_012690_T.1	3
33.1825	AB_012690_T.1	3
33.1825	AB_012690_T.1	3
33.1825	AB_030272_T.1	3
33.1825	AB_020811_T.1	3
33.1825	AB_025699_T.1	3
33.7445	AB_004996_T.1	3
34.0255	AB_012690_T.1	3
34.0255	AB_024583_T.1	3
34.0255	AB_012481_T.1	3
35.1525	AB_044562_T.1	3
35.4335	AB_044562_T.1	3
36.5595	AB_002462_T.1	3
37.6895	AB_014633_T.1	3
40.2375	AB_012797_T.1	3
44.205	AB_011197_T.1	3
44.205	AB_024190_T.1	3
44.205	AB_034075_T.1	3
46.472	AB_010370_T.1	3
51.299	AB_019517_T.1	3
